,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year,Founders,Investor
894,Milk Mantra,Food,undisclosed,10000000,Odisha,Produces Dairy Products,1970,Srikumar Misra,US International Development Finance Corporation
895,Myglamm,Beauty,undisclosed,4327000,Mumbai,On-demand beauty services provider,1970,Darpan Sanghvi,Tano India L’Occitane Bessemer
896,Drishti Technologies,AI,Series B,25000000,Bangalore,AI-based video analytics data and insights bring benefits to manufacturers,1970,Prasad Akella,Sozo Ventures
897,Instasolv,Edtech,Pre Series A,2000000,Noida,It is a doubt-solving app for students from Class 6 to 12,1970,Aditya Singhal Nishant Sinha Bahul Arora,Undisclosed
898,GoldenPi,Fintech,undisclosed,459000,Bangalore,An online aggregator of bonds and debentures available in the secondary market,1970,Abhijit Roy Samir Pratihar,Rainmatter Capital
901,Jai Kisan,Fintech,Pre Series A,3937000,Mumbai,A platform that caters the need of customers in rural areas,1970,Arjun Ahluwalia Adriel Maniego,Arkam Ventures Nabventures
903,LetsTransport,Logitech,undisclosed,1313500,Bangalore,Offers techno logistics solutions,1970,Pushkar Singh Sudarshan Ravi Ankit Parasher,Stride Ventures
905,Crimson Healthcare,Med Tech,undisclosed,229800,Delhi,It innovates cutting edge solutions for various problems in the healthcare system,1970,Pranav Chopra Neeraj Kumar,Mumbai Angels Network
907,Edvizo,Edtech,Seed,150000,Bangalore,Online marketplace to search compare and enrol in the best institutes for competitive exam preparation,1970,Ravi Nishant,Inflection Point Ventures
908,Servify,SaaS,Series C,11370000,Mumbai,Operates device management and support platform,1970,Sreevathsa Prabhakar,Iron Pillar Blume Ventures
909,Drum Food,Food,undisclosed,5305000,Mumbai,It runs yoghurt brand Epigamia,1970,Rohan Mirchandani Ganesh Krishnamurthy Rahul JainUday Thakkar.,Danone Manifesto Mousse Partners
911,Jiffy ai,AI,Series A,18000000,Undisclosed,Enterprise automation startup,1970,Babu Sivadasan,Nexus Venture Partners
912,Postman,Tech,Series C,150000000,Undisclosed,API development platform startup,1970,Abhijit Kane Abhinav Asthana Ankit Sobti,Insight Partners
914,Waycool,Agritech,Series C,5500000,Chennai,Food development and distribution services,1970,Karthick Jayraman Sanjay Dasari,Induslnd Bank
916,Ameliorate Biotech,Biotech,Angel Round,264000,Bangalore,Their products address the needs in Early Stage Diagnostics Bio-Similars and Nutraceuticals.,1970,Dr Binita Shrivastava Tunga Dr Rashbehari Tunga,PadUp Villgro USA Vinners LetsVenture SINE IIT Bombay DERBI
917,Hapramp,Blockchain,undisclosed,1000000,Gurugram,Startup working on technologies like blockchain and social media,1970,Shubhendra Vikram Ankit Kumar,Anand Mahindra
919,HealthPlix,Healthtech,Series B,6000000,Bangalore,It provides clinical software for doctors,1970,Raghuraj Sunder Raju Prasad Basavaraj Sandeep Gudibanda,JSW Ventures Chiratae Ventures Kalaari Capital
920,YoloBus,Mobility/Transport,Series A,3300000,Gurugram,Intercity bus service startup,1970,Shailesh Gupta Mukul Shah,Nexus Venture Partners
921,iNurture Education,Edtech,undisclosed,4000000,Undisclosed,It provides a conducive and healthy teaching learning environment,1970,Ashwin Ajila,Kimera Ltd
922,Pocket52,Gaming,Series A,1750000,Bangalore,An online poker playing platform,1970,Nitesh Salvi,Gameskraft
923,QuaQua,Travel,undisclosed,1000000,Hyderabad,Virtual travel guide platform,1970,Purav Shah Sandesh Reddy,Anthill Ventures
924,Crofarm,Agritech,undisclosed,1000000,Delhi,Supply chain that supports farmers and provides businesses with freshest produce,1970,Prashant Jain Varun Khurana,Smile group
926,Wooden Street,Ecommerce,Series A,3000000,Jaipur,It enables to order custom furniture online,1970,Lokendra Ranawat Dinesh Pratap Singh Virendra Ranawat Vikas Baheti,IAN Fund
927,BankBazaar,Fintech,Series D1,5967000,Chennai,Online marketplace that gives customers instant customised offers on loans and credit cards,1970,Adhil Shetty Arjun Shetty Rati Shetty,WSV Capital
928,Rentmojo,Rental,undisclosed,2980000,Bangalore,Rental platform for furniture appliances & electronics,1970,Geetansh Bamania,Gautam Dalmia Pratithi Investment Trust Shri Investment
930,Knorish,SaaS/Edtech,Pre Series A,323000,Delhi,All-in-one knowledge commerce SaaS platform,1970,Kinner N Sacchdev Rakhi Wadhwa,100x VC
931,LetsTransport,Logitech,undisclosed,1326000,Bangalore,Offers techno logistics solutions,1970,Pushkar Singh Sudarshan Ravi Ankit Parasher,Black Soil
934,Cube Wealth,SaaS,Mid series,500000,Mumbai,A digital wealth management services,1970,Satyen Kothari Beenext Asuka Holding,Beenext Asuka Holding
935,IVF Access,Healthtech,Series A,5000000,Bangalore,It provdes IVF treatments,1970,Naresh Rao Nikhil Rajmohan Harinath Chakravarthy Pravin Sethuraman,Vertex Ventures SEA & India
936,Hoi Foods,Foodtech,Pre Series A,2000000,Delhi,Quality food solution,1970,Indrajeet Roy,Crowd Fund
937,Ola Financial Services,Fintech,Series A,27000000,Bangalore,It operates Ola Money,1970,Bhavish Aggarwal,Matrix Partners
938,Awifs,Co-working,undisclosed,5200000,Delhi,Provides office space solutions,1970,Amit Ramani,Bisque Limited Link Investment Trust.
939,Dunzo,Logistics,undisclosed,55000000,Bangalore,India-based hyperlocal delivery startup,1970,Kabeer Biswas  Mukund Jha Dalvir Suri Ankur Aggarwal,Undisclosed
943,Toch,AI,Pre Series A,1000000,Mumbai,Helps online video creators media companies advertisers and OTT platforms optimise their videos,1970,Vinayak Srivastav Saket Dandotia Alok Patil,Chinaccelerator 9 Unicorns Fund Inflection Point Ventures
945,Coin DCX,Cryptocurrency,undisclosed,2500000,Mumbai,Hybrid crypto exchange platform,1970,Sumit Gupta Neeraj Khandelwal,Polychain Capital
947,Euler Motors,Automotive tech,Series A,2530000,Delhi,Startup focusses on electric vehicles,1970,Saurav Kumar,Inventus III India Fund
951,Leap Club,,Pre seed round,340000,Gurugram,Community led professional network for women,1970,Ragini Das Anand Sinha,Whiteboard Capital FirstCheque Artha India Ventures Sweta Rau Deepak Abbot Amrish Rau Harpreet Singh Grover
952,Credit Mantri,Fintech,undisclosed,792000,Chennai,Offers free credit score and a detailed credit analysis report,1970,Gowri Mukherjee Ranjit Punja Rajasundaram Sudarshan,IDG Ventures Elevar Equity Accion
953,Xtracap,Fintech,undisclosed,1000000,Gurugram,Offers online payment solutionschemes order management insurance etc.,1970,Mohammed Riaz,Angel Investors
956,Khatabook,Fintech,Series B,60000000,Bangalore,It helps SMEs to maintain their accounts and ledger online.,1970,Ravish Naresh,B Capital Group
957,LendingKart,Fintech,Series D,11363000,Ahmedabad,Provides working capital loans and business loans to MSMEs,1970,Harshvardhan Lunia Mukul Sachan,Fullerton Financial Holdings Bertelsmann India Investments Sistema Asia Fund IndiaQuotient
958,Illumnus,Edtech,Seed,100000,Undisclosed,Offers Collaborative learning management system for educational institutions,1970,Akash Deep Singhal Akshaya Singhal,Angel investors. HNI
959,LetsTransport,Logitech,undisclosed,1715000,Bangalore,Offers techno logistics solutions,1970,Pushkar Singh Sudarshan Ravi Ankit Parasher,Innoven Capital
960,Eggoz,Agritech,Seed,329000,Bihar,Provides technology backed deep integration services to egg farmers,1970,Uttam Kumar,Tracxn Labs Angellist Tri-Deep Capital
962,Indian School Finance Company,Fintech,Seed,5271000,Hyderabad,NBFC that provides funding to education system,1970,,Gray Matters Capital
963,Juicy Chemistry,,Series A,650000,Undisclosed,It focuses on organic based skincare products,1970,Pritesh Asher,Akya Ventures
966,Sindhuja Microcredit,Fintech,undisclosed,8700000,Noida,It provides financial services to self employed women entrepreneurs,1970,Abhisheka Kumar Malkit Didyala,Nordic Microfinance Initiative
967,Rentmojo,Rental,undisclosed,3226000,Bangalore,Rental platform for furniture appliances & electronics,1970,Geetansh Bamania,Chiratae Ventures Accel Partners BCIP Venture Associates Bain Capital Renaud Laplanche
969,Intello Labs,Supply chain Agritech,Series A,5900000,Gurugram,Standardisation and Quality control of fruits & vegetables,1970,Milan Sharma Nishant Mishra Himani Shah Devendra Chandani,Saama Capital
970,SirionLabs,SaaS,Series C,44000000,Gurugram,Provides procurement outsourcing services & contract management software,1970,Ajay Agrawal,Tiger Global Avatar Growth Capital
971,Magicpin,,undisclosed,3879000,Gurugram,It is a local discovery rewards and commerce platform,1970,Anshoo Sharma Brij Bhushan,Lightspeed Venture Partners
973,Refrens,SaaS,Seed,1000000,Bangalore,Offers a free invoicing payments and expense management system,1970,Naman Sarawagi Mohit Jain,Vijay Shekhar Sharma Anupam Mittal
974,Shiprocket,Logitech,Series C,13000000,Undisclosed,Tech enabled logistics aggregator,1970,Saahil Goel,Tribe Capital Innoven Capital BII
976,Nykaa,Ecommerce,undisclosed,8800000,Mumbai,Deals in cosmetic and wellness products,1970,Falguni Nayar,Steadview capital
977,Docsapp,Healthtech,undisclosed,9500000,Bangalore,Online doctor consultation app,1970,Satish Kannan,Bessemer Venture Partners India Fusian Capital Rebright Partners Milliways Fund LLC
978,Phable,Healthtech,Pre Series A,1000000,Undisclosed,It creates an engagement loop between doctors hospitals and patients via its app,1970,Sumit Sinha  Mukesh Bansal,Inflection Point Ventures
981,Mintoak,Fintech,Pre Series A,2000000,Mumbai,Merchant payment solutions startup,1970,Raman Khanduja Sanjay Nazareth,Pravega Ventures
982,VestSpace,Spacetech,undisclosed,10000000,Pune,It builds small satellite paltforms,1970,Arun Kumar Sureban,Next Capital
984,Vernacular ai,AI,Series A,5100000,Bangalore,It offers Multiligual AI platform,1970,Gupta Akshay Deshraj Manoj Sarda,Exfinity Ventures IAN Fund
985,Clover,Agritech,undisclosed,920000,Bangalore,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,1970,Avinash BR Gururaj Rao Arvind Murali Santhosh Narasipura,Alteria Capital
986,Varthana,Fintech,Series D,15000000,Bangalore,Offers secured and unsecured loans,1970,Steve Hardgrave,ChrysCapital
989,Rooter,Gaming,Pre Series A,1700000,Delhi,Live sports engagement platform,1970,Piyush Dipesh Agarwal,Paytm leAD Sports Rockstud Capital Founder Bank Capital
992,DailyHunt,Media,undisclosed,35600000,Undisclosed,News aggregator,1970,Virendra Gupta,Lupa India
993,Pratilipi,Media,Series C,9400000,Bangalore,A digital platform that connects readers and writers in various languages,1970,Ranjeet Pratap Singh Sankaranarayanan Devarajan Sahradayi Modi Rahul Ranjan Prashant Gupta,Tencent
994,Biryani By Kilo,Food,Series B,790000,Delhi,Online paltform to order biryani,1970,Vishal Jindal,Devanshu Dolat Desai Anand M Khatau Debasish Priyadarshi Purohit Kaushik Shanghvi
995,Consure Medical,Healthtech,undisclosed,480000,Delhi,Novel platform technologies to manage diagnose and treat various GI disorders,1970,Nishith Chasmawala Amit Sharma,Accel Partners Jungle Ventures
996,Servify,,undisclosed,250000,Mumbai,It is a technology company which serves as a platform for brands to offer end-to-end solutions to their users,1970,Sreevathsa Prabhakar,Barkawi
997,Tessol,Logistics,Series A,160000,Mumbai,It provides end to end cold chain logistics solutions,1970,Rajat Gupta,1Funds Domestic Scheme
1001,Pedagogy,Edtech,undisclosed,400000,Undisclosed,It has a single subscription model that allows users to access books and digital courses.,1970,Archin Shah Abhilash Sonwane Ritesh Gandhi,Inflection Point Ventures
1002,Classplus,Edtech,Series B,8200000,Delhi,It provides mobile-first software for coaching institutes tuition centres and private tutors,1970,Mukul Rustagi Bhaswat Agarwal,RTP Global
1003,Medlife,Pharmaceutical,undisclosed,15500000,Bangalore,It solves inadequacies in the healthcare delivery system through technology,1970,Tushar Kumar Prashant Singh,Hero Fincorp
1005,MYSUN,Tech,Pre Series A,4257000,Delhi,Platform for rooftop solar energy solutions,1970,Gagan Vermani Divyanshu Sachdev Gyan Prakash Tiwari,Undisclosed
1006,ShopX,Ecommerce,undisclosed,1410000,Bangalore,B2B retail operating system,1970,Amit Sharma Apoorva Jois,Li and Fung
1009,NewsBytes,Digital Media,Series A,1500000,Gurugram,News portal,1970,Romesh Khaddar Shikha Chaudhry Sumedh Chaudhry,North Base Media
1010,Wagonfly,,undisclosed,500000,Bangalore,Contactless shopping and delivery experience by using radio frequency to tag retail items,1970,Raghavendra Prasad,Investment Trust of India
1011,NIRA,Fintech,Pre Series A,2100000,Undisclosed,It offers access and credit to working Indians,1970,Rohit Sen Nupur Gupta,Angel investors
1012,Convosight,Data Analytics,Pre Series A,4000000,Hyderabad,It helps business gain insights from its community on Facebook groups,1970,Tarun Dhamija Kartik Bansal,IvyCap Ventures Sequoia Capital
1013,Fittr,Fitness,undisclosed,2000000,Pune,Fitness Social Network & Consultation Platform,1970,Jitendra Chouksey,Sequoia Capital Surge Better Capital
1015,Bira91,Beverage,Series C,20000000,Bangalore,Craft beer maker,1970,Ankur Jain,Sequoia Capital Sofina
1017,Daily Ninja,Ecommerce,undisclosed,349800,Haryana,Online Milk Delivery startup,1970,Sagar Yarnalkar,Big Basket
1018,Guvi Geek Network Pvt Ltd,Edtech,Pre Series A,786000,Chennai,Operates vernacular-language based education,1970,SP Balamurugan Arun Prakash Sri Devi,Education Catalyst Fund
1019,LoadShare,Logistics,Series B,2004000,Bangalore,Provides technology based solutions to SMEs in logistics,1970,Raghuram Talluri Tanmoy Karmakar Rakib Ahmed,CDC Group
1020,Vedantu,Edtech,Series C,6800000,Bangalore,Onine learning platform,1970,Saurabh Saxena Pulkit Jain Anand Prakash Vamsi Krishna,KB Global Platform Firm
1021,Indusface,IT,undisclosed,5000000,Undisclosed,It provides IT security solutions,1970,Venkatesh Sundar Nandini Tandon,Tata Capital Growth Fund II
1022,DMI Group,Financial Services,undisclosed,123000000,Delhi,Pan-India Credit providing platform,1970,Shivashish Chatterjee Yuvraja Singh,NXC Corporation
1023,Spintly,IoT,Pre Series A,248000,Goa,It is a wireless cloud-based access control system,1970,Rohin Parkar Malcolm Dsouza,Saltwater Venture Sparks
1025,Bijak,Agritech,Series A,12000000,Gurugram,It is a platform that gives agricultural commodity at better prices increased working capital and optimised logistics,1970,Nukul Upadhye Mahesh Jakhotia Jitender Bedwal Daya Rai Nikhil Tripathi,RTP Global
1026,Bugworks,Biopharma,undisclosed,7500000,Bangalore,A drug discovery company that aims to discover novel treatment options for resistant bacterial infections,1970,Anand Anandkumar,University of Tokyo Edge Capital Global Brain Corporation
1028,Yap,Fintech,Series A,4500000,Chennai,Banking and payment products-focused API platform,1970,Madhusudanan R Muthukumar and Prabhu,BeeNext
1030,Tattva,Beauty & wellness,undisclosed,150000,Delhi,Sells its organic and beauty products via marketplace,1970,Megha Wadhwa Karnesh Mahendru,Sukhbir Singh Rakhee Singal
1032,DailyHunt,Media,undisclosed,24000000,Undisclosed,News aggregator,1970,Virendra Gupta,Bytedance Falcon Edge Goldman Sachs Advent Management
1033,NoBroker,Real Estate,undisclosed,30000000,Bangalore,Online real estate rental startup,1970,Amit Kumar Agarwal Akhil Gupta Saurabh Garg,General Atlantic
1034,Box8,Foodtech,undisclosed,4000000,Mumbai,Enables to order food online,1970,Amit Raj Anshul Gupta,IIFL Seed Ventures Fund Menlo park
1035,Capital Float,Fintech,undisclosed,15000000,Bangalore,Online platform that provides working capital finance to SMEs,1970,Gaurav Hinduja Sashank Rishyasringa,Ribbit Capital SAIF Partners Sequoia Capital India Amazon
1036,ITILITE,Travel & SaaS,Series B,13000000,Bangalore,Platform for business travel,1970,Mayank Kukreja Anish Khadiya,Greenoaks Capital Vy Capital. Matrix Partners India
1038,Aavenir,SaaS,Seed,2000000,Ahmedabad,Source-to-Pay Software,1970,Ashish Bhandari,Accel
1041,Yellow Messenger,AI,Series B,20000000,Bangalore,It offers conversational chatbots,1970,Raghavendra Kumar Ravinutala,Lightspeed Venture Partners Lightspeed India Partners.
1042,Toch,Media Tech,undisclosed,400000,Undisclosed,AI based Video object detection and Tagging platform,1970,Vinayak Shrivastav Saket Dandotia Alok Patil,Inflection Point Ventures
1043,Ewar,Gaming,undisclosed,200000,Bangalore,E-sports and real-time gaming startup,1970,Parth Chadha Rahul Singh,Jindal Steels Jeet Banerjee
1044,Setu,Fintech,Series A,14259000,Undisclosed,Offers open APIs across four categories: bills savings credit and payments.,1970,Sahil Kini Nikhil Kumar,Lightspeed Venture Falcon Edge Bharat Inclusive Technologies Seed Fund.
1045,Wellthy Therapeutics,Healthtech,Pre Series A,4000000,Bangalore,It offers a digital therapeutics service,1970,Abhishek Shah,Saama Capital
1048,FarEye,Logistics,Series D,24500000,Delhi,It enables businesses to execute track predict and oprimize the movements of goods,1970,Gaurav Srivastava Gautam Kumar Kushal Nahata,M12 Honeywell venture capital Eight Roads Venture
1049,Rebel Foods,Food tech,undisclosed,50000000,Undisclosed,It runs internet kitchen,1970,Jaydeep Barman Kallol Bannerjee,Coatue Management
1050,BankBazaar,Fintech,Series D,3800000,Chennai,Online marketplace that gives customers instant customised offers on loans and credit cards,1970,Adhil Shetty Arjun Shetty Rati Shetty,Amazon Sequoia Walden SKT Venture Fund
1051,Porter,Logistics,Series D,18370000,Mumbai,Logistics and fleet management,1970,Pranav Goel Uttam Digga,Lightstone Global Funds
1052,SugarBox,Tech,undisclosed,68525000,Mumbai,Hyperlocal data distribution platform,1970,Rohit Paranjpe,Zee Entertainment Enterprises Limited
1053,Capital Float,Fintech,Series F,4800000,Bangalore,Online platform that provides working capital finance to SMEs,1970,Gaurav Hinduja Sashank Rishyasringa,Amazon Inc` Dinesh J Hinduja
1054,Big Basket,E store,undisclosed,60000000,Bangalore,Online grocery store,1970,Abhinay Choudhari Hari Menon Vipul Parekh VS Sudhakar,Alibaba Holdings
1055,Amica,Fintech,undisclosed,2000000,Undisclosed,Neobanking startup,1970,Jitendra Gupta,Hummingbird Ventures Bedrock Capital
1056,Vedantu,Edtech,Series C,12500000,Bangalore,Onine learning platform,1970,Saurabh Saxena Pulkit Jain Anand Prakash Vamsi Krishna,Legend Capital
1057,Fingerlix,Food,undisclosed,1834000,Undisclosed,It provides ready-to-cook products such as batters mixes curries dals parathas etc.,1970,Shrikrishna Bharambe Shripad Nadkarni Varun Khanna Abhijit Berde,Accel Zephyr Peacock Swiggy RB Investments.
1059,Zupee,Gaming,Series A,8000000,Undisclosed,It runs live quiz tournaments on its app.,1970,Malhi Siddhant Saurabh,Matrix Partners
1060,DeHaat,Agritech,Series A,12000000,Undisclosed,Online marketplace for farming services and products,1970,Shashank Kumar,Sequoia Capital India
1061,Lido Learning,Edtech,Series B,7500000,Mumbai,Online teaching service,1970,Sahil Sheth,Bace Capital
1062,Aye Finance,Fintech,undisclosed,23850000,Gurugram,A finance lender to SMEs,1970,Vikram Jetley Sanjay Sharma,Undisclosed
1063,Swiggy,Foodtech,Series A,43000000,Bangalore,Platform to order food online from restaurants and getting it delievered,1970,Nandan Reddy Sriharsha Majety Rahul Jaimini,Tencent Ark Impact Korea Investment Partners Samsung Ventures Mirae Asset Capital Markets
1064,Akna Medical,Healthtech,undisclosed,7000000,Undisclosed,Provides supply solutions for surgical and pharmaceutical products.,1970,Saurabh Pandey Mahadevan Narayanamoni,LGT Lightstone Aspada
1065,Zomato,Foodtech,undisclosed,5000000,Gurugram,Online food delivery and restaurant discovery platform,1970,Deepinder Goyal,Pacific Horizon
1066,RaRa Delivery,Logistics,Seed,800000,Undisclosed,Provides same day delivery service for ecommerce businesses,1970,Karan Bhardwaj,Der Shing Lim 500 startups
1067,JusPay,Fintech,Series B,21600000,Bangalore,Online payment solutions,1970,Vimal Kumar,Vostok Emerging Finance
1069,Fingpay,Fintech,Series A,3500000,Mumbai,Provides payment solutions,1970,Pratyush Halen Anuraag Agrawal,IvyCap Ventures
1070,Recko,SaaS,Series A,6000000,Bangalore,The platform enables AI-powered reconciliation of digital transactions,1970,Prashant Border Saurya Prakash Sinha,Vertex Ventures
1071,Furlenco,Ecommerce,undisclosed,10000000,Bangalore,Furniture rental startup,1970,Ajith Mohan Karimpana,Chowdry Associates Lightbox
1072,Mera Cashier,Fintech,undisclosed,150000,Noida,App meant for small and micro businessmen to manage their transactions digitally,1970,Suneel Kumar Gaurav Tomar Sucharita Redd,Sukhbir Singh India Accelerator Boudhik Ventures Shankar Nath Shaurya Garg
1073,Kitchens Centre,,Seed,500000,Delhi,Offers solutions to cloud kitchens by providing commercial space and kitchen infrastructure to assisting with branding and other services,1970,Lakshay Jain,AngelList India
1074,Camp K12,Edtech,Seed,4000000,Gurugram,It connects students with tutors online,1970,Anshul Bhagi Sandeep Bhagi,Matrix Partners SAIF Partners
1075,MedGenome,Healthtech,Series D,55000000,Bangalore,Genetic diagnostic testing company,1970,Sam Santhosh,LeapFrog Investments
1076,Ergos,Agritech,undisclosed,4598000,Bangalore,It enables farmers to digitise their foodgrain and also provide access to supply chain solutions,1970,Kishor Jha Praveen Kumar,Aavishkar Capital
1077,Nykaa,Ecommerce,undisclosed,13137000,Mumbai,Deals in cosmetic and wellness products,1970,Falguni Nayar,Steadview capital
1080,Lido Learning,Edtech,undisclosed,3000000,Mumbai,Online teaching service,1970,Sahil Sheth,Pecus Capital Madhur Deora
1081,CureFit,Health and Fitness,Series D,115000000,Bangalore,Integrated platform for food fitness and meditation.,1970,Mukesh Bansal Ankit Nagori,Temasek
1083,Design X,IoT,Seed,200000,Noida,Builds IoT based products,1970,Preet Arjun Singh,ThinkNext LLC
1085,Imstrong,Fitness,Seed,400000,Bangalore,It is an online and live video-streaming platform that allows trainers and fitness enthusiasts to connect and engage in interactive online classes.,1970,Dilip Kumar Selvan Thamarai Deepti Nair,Rainmatter
1086,Craftsvilla,Marketplace,undisclosed,3900000,Mumbai,Online marketplace for ethnic wear,1970,Monica Gupta. Manoj Gupta,Supera Investments
1090,CoinDCX,Fintech,Series A,3000000,Undisclosed,A cryptocurrency trading platform,1970,Sumit Gupta,Polychain Capital Bain Capital Ventures HDR Group
1091,NuNu TV,Media,undisclosed,670000,Undisclosed,Kids-focussed Youtube channel,1970,,Risers Accelerators
1092,QTalk,Technology,Seed,1600000,Bangalore,Smart Phone Dialer,1970,Sagar Modi Advaith Vishwanath,Accel India Lightspeed Venture Partners
1093,Shadez,Interior & decor,Seed,100000,Mumbai,Paint Company,1970,Adarsh Anand Amit Tiwari,Inflection Point Ventures
1094,Excess2Sell,Ecommerce,undisclosed,1000000,Mumbai,B2B Marketplace for Overstock & Surplus Inventory,1970,Rajan Sharma,Gautham Madhavan
1095,Stanplus,Healthtech,Pre Series A,1500000,Hyderabad,Ambulance service,1970,Prabhdeep Singh,Pegasus FinInvest
1096,Pitstop,Automobile,Series A,2500000,Bangalore,Doorstep car service,1970,Mihir Mohan mishra,TPG-backed Group Landmark
1097,Univariety,Edtech,undisclosed,1100000,Hyderabad,Online marketplace that provides career counselling and college guidance,1970,Jaideep Gupta,Info Edge
1099,CoreStack,Technology,Series A,8500000,Chennai,Enterprise cloud governance technology startup,1970,Ezhilarasan Natarajan Sabapathy Arumugam Krishnakumar Narayanan Thiruvalluvar NB,Naya Ventures
1100,Vivriti Capital,Fintech,Series B,50000000,Chennai,Digital lending startup,1970,Gaurav Kumar Vineet Sukumar,LGT Lightstone Aspada
1101,Agnikul,Spacetech,Pre Series A,3148000,Chennai,It designs fabricates tests and launch orbital class launch vehicles,1970,Srinath Ravichandran,pi Ventures
1102,Fintso,Fintech,undisclosed,2600000,Undisclosed,Wealth management platform,1970,George Mitra Rajan Pathak,Rajeev Juneja Pratul Shroff Dilip Khandelwal Piyush Gupta
1104,Smart Coin,Fintech,Series A,7000000,Undisclosed,Consumer lending startup,1970,Amit Chandel Rohit Garg Vinay Kumar Jayant Upadhyay,LGT LightstoneAspada
1105,ZunRoof,Cleantech,Series A,3000000,Gurugram,It specialises in solar rooftop design installation and management using technology,1970,Pranesh Chaudhary Sushant Sachan,Godrej Investments
1106,Shop101,Social e-commerce,Series C,3900000,Undisclosed,Enables entrepreneurs to sell online,1970,Abhinav Jain Aditya Gupta,Stellaris Venture Partners Unilever Ventures Kalaari Capital Vy Capital
1108,Lal10,B2B,undisclosed,1100000,Uttar Pradesh,It helps Indian artisans and SMEs reach out to global retailers,1970,Maneet Gohil Sanchit Govil Albin Jose,Sorenson Impact
1111,Ola Electric,eMobility,undisclosed,1000000,Bangalore,Electric vehicle,1970,Ankit Jain Anand Shah,Pawan Munjal Family Trust Fund
1112,Multi Living,Real Estate,undisclosed,6000000,Mumbai,It curates apartments from the homeowners performs the quality check and offers the homes with built-in services to the potential tenants,1970,Pankaj Singh,Lodha Ventures
1113,FamPay,Fintech,Seed,4700000,Bangalore,It allows parents to send money to their kids below the age of 18 which they can spend securely under parent supervision.,1970,Kush Taneja,Y Combinator Venture Highway Sequoia India Global Founders Capital
1114,UnboxRobotics Labs,Automation tech,Seed,500000,Bangalore,Automated flexible parcel sorting solutions for logistics providers,1970,Pramod Ghadge,Arali Ventures CIIE.CO
1115,Karbon Card,Fintech,Seed,2000000,Bangalore,Specialisde corporate cards for startups,1970,Pei-fu Hsieh Amit Jangir,Kunal Shah Amrish Rau Jitendra Gupta
1116,Airmeet,Media & Networking,undisclosed,3000000,Bangalore,A platform to host discover and attend fully remote events like conferences and professional meet-ups,1970,Lalit Mangal Vinay Jaasti Manoj Singh,Accel India
1117,Innerchef,Foodtech,undisclosed,1000000,Gurgaon,Cloud kitchen platform,1970,Rajesh,Mistletoe
1118,Epigamia,FMCG,Series C,2558000,Mumbai,Flavoured and greek yoghurt brand,1970,Rohan Mirchandani,KA Enterprise
1123,Paper Boat,Food & Beverages,undisclosed,4049500,Bangalore,Ecommerce platform for beverages and snacks,1970,Neeraj Kakkar James Nutall Suhas Misra Neeraj Biyani,Advent Management A91 Emerging Fund Trifecta Venture
1124,Strata,Proptech,Seed,1500000,Bangalore,Real estate investment platform,1970,Sudarshan Lodha Priyanka Rathore,SAIF Partners Mayfield India
1125,Salesken,AI & Data science,Series A,8000000,Bangalore,Provides sales professionals with intelligence on various aspects of the sales pitch,1970,Sreeraman Vaidyanathan Surga Thilakan,Sequoia India
1126,Arya,Agritech,Series B,6000000,Noida,Provides post-harvest services across the agricultural value chain,1970,Prasanna Rao,LGT Lightstone Aspada
1127,Leap Finance,Fintech,undisclosed,5500000,Bangalore,Provides education loans to students based on the student’s future income,1970,Vaibhav Singh Arnav Kumar,Sequoia India
1129,Tricog,Healthtech,Series B,10500000,Bangalore,Provides virtual cardiology services through its AI-powered healthcare platforms,1970,Charit Bhograj Zainul Charbiwala Udayan Dasgupta Abhinav Gujjar,UTEC-The University of Tokyo Edge Capital Aflac Ventures LLC Dream Incubator TeamFund
1131,Trell,Social e-commerce,Pre Series A,4000000,Bangalore,Allows users to share their travel experiences,1970,Pulkit Agrawal Prashant Sachan Arun Lodhi Bimal Kartheek Rebba Nirav Sheth,Sequoia’s Surge Fosun RZ
1132,Spaciya Consultants,Real Estate,Pre Series A,500000,Noida,Real estate consultancy firms,1970,Ajit Panda,Alok Garg
1133,Bounce,Automotive and Rentals,undisclosed,6500000,Bangalore,Offers a variety of bikes and scooters that can be rented on a subscription basis,1970,Vivekananda Hallekere Anil Giri Raju Arun Agni,InnoVen Capital
1134,Neeman,Ecommerce,Pre Series A,1000000,Undisclosed,An eco-conscious footwear brand making comfortable shoes using Merino Wool,1970,Taran Chhabra Amar Preet Singh,Anicut Angel Fund
1135,Chqbook,Fintech,Series A,5000000,Gurugram,Marketplace for small business owners offering them products around lending credit cards etc,1970,Vipul Sharma Rajat Kumar Sachin Arora Mohit Goel,Aavishkaar Capital
1136,SMEcorner,Fintech,Series B,30000000,Mumbai,Financial lending firm to SMEs,1970,Bhatia Sneha Shah,Paragon Partners
1138,Spinny,E-tail,Series B,43700000,Haryana,Used car retailing platform,1970,Niraj Singh Mohit Gupta Ramanshu Mahuar,Nandan Nilekani Sanjeev Aggarwal
1140,Umeed Housing,Fintech,Series D,23000000,Haryana,Housing finance company,1970,Ashutosh Sharma,Morgan Stanley Private Equity Asia
